Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2025-02-24,X (Nov 2025),0.0000,18.0000,25.0000,0.0000,20.0793,0,0,0,0
2025-02-25,X (Nov 2025),20.2000,20.3500,20.0000,20.0000,20.125,0.0457,9,0,9
2025-02-26,X (Nov 2025),0.0000,19.0500,0.0000,0.0000,19.9949,-0.1301,0,0,8
2025-02-27,X (Nov 2025),20.0500,20.3000,20.0500,20.0500,20.35,0.3551,1,0,9
2025-02-28,X (Nov 2025),20.5500,20.6000,20.0000,20.0000,20.025,-0.325,12,0,19
2025-03-03,X (Nov 2025),20.4000,21.0500,20.2000,20.4500,20.575,0.550,36,0,37
2025-03-04,X (Nov 2025),20.7000,21.1000,20.2000,20.3000,20.35,-0.225,218,0,204
2025-03-05,X (Nov 2025),20.5500,20.6500,20.2000,20.3500,20.25,-0.10,23,0,205
2025-03-06,X (Nov 2025),20.7500,21.0200,20.5000,21.0000,21.00,0.75,70,0,242
2025-03-07,X (Nov 2025),21.1000,21.3000,20.6000,20.6000,20.675,-0.325,14,0,244
2025-03-10,X (Nov 2025),21.2500,21.4000,20.6000,21.2500,21.25,0.575,23,0,268
2025-03-11,X (Nov 2025),21.5000,21.9500,21.2500,21.3500,21.375,0.125,16,0,273
2025-03-12,X (Nov 2025),21.3000,21.3100,20.8500,21.0000,20.95,-0.425,34,0,280
2025-03-13,X (Nov 2025),21.4500,21.4700,20.8500,21.4500,21.425,0.475,8,0,287
2025-03-14,X (Nov 2025),20.8000,21.2000,20.5200,20.8000,20.65,-0.775,12,0,282
2025-03-17,X (Nov 2025),20.7000,20.7000,20.4000,20.4500,20.475,-0.175,44,0,298
2025-03-18,X (Nov 2025),20.3500,20.7500,20.3000,20.5500,20.5627,0.0877,22,0,315
2025-03-19,X (Nov 2025),20.6000,20.7000,20.1000,20.2500,20.276,-0.2867,75,0,362
2025-03-20,X (Nov 2025),20.0500,20.3000,20.0100,20.1000,20.0996,-0.1764,223,0,418
2025-03-21,X (Nov 2025),20.0500,20.3100,20.0500,20.0500,20.05,-0.0496,49,0,456
2025-03-24,X (Nov 2025),19.9500,20.0000,19.3900,19.3900,19.3897,-0.6603,86,0,476
2025-03-25,X (Nov 2025),19.3500,19.6500,19.3500,19.6000,19.5951,0.2054,155,0,558
2025-03-26,X (Nov 2025),19.5300,20.0500,19.5300,19.9500,19.9722,0.3771,221,0,590
2025-03-27,X (Nov 2025),20.0000,20.0500,19.8400,19.9700,19.9387,-0.0335,106,0,587
2025-03-28,X (Nov 2025),20.0000,20.7000,20.0000,20.6500,20.575,0.6363,477,0,805
2025-03-31,X (Nov 2025),21.0000,21.1500,20.5000,20.6700,20.55,-0.025,742,0,1076
2025-04-01,X (Nov 2025),20.8000,20.9500,20.4700,20.7000,20.6478,0.0978,560,0,1352
2025-04-02,X (Nov 2025),20.6500,21.2000,20.1000,21.2000,20.50,-0.1478,674,0,1722
2025-04-03,X (Nov 2025),21.7500,22.0500,21.3000,21.9500,21.9216,1.4216,1050,0,2073
2025-04-04,X (Nov 2025),21.7500,23.8500,21.6500,22.8500,22.825,0.9034,1280,0,2434
2025-04-07,X (Nov 2025),23.1000,24.8500,19.9000,22.5000,22.555,-0.270,796,0,2460
2025-04-08,X (Nov 2025),22.2000,24.3000,21.9000,23.3500,23.1957,0.6407,1235,0,2908
2025-04-09,X (Nov 2025),23.3500,25.1000,21.0500,21.0500,21.15,-2.0457,1876,0,2962
2025-04-10,X (Nov 2025),21.1500,23.8000,21.1000,22.6700,22.6864,1.5364,1242,0,3119
2025-04-11,X (Nov 2025),22.3000,23.9500,22.2500,23.1500,23.2753,0.5889,844,0,3071
2025-04-14,X (Nov 2025),22.3500,23.1500,22.3000,23.0100,22.8186,-0.4567,438,0,3084
2025-04-15,X (Nov 2025),23.1300,23.3000,22.6500,23.1200,23.0047,0.1861,875,0,3195
2025-04-16,X (Nov 2025),23.3000,23.7000,22.8000,23.4500,23.5569,0.5522,1993,0,3682
2025-04-17,X (Nov 2025),23.5000,23.7700,23.1500,23.2700,23.383,-0.1739,880,0,3913
2025-04-21,X (Nov 2025),23.1500,24.2000,23.1500,24.1200,24.1491,0.7661,1281,0,4331
2025-04-22,X (Nov 2025),24.2000,24.2000,23.3500,23.4200,23.4254,-0.7237,1059,0,4608
2025-04-23,X (Nov 2025),23.0000,23.2500,22.7200,23.0400,23.1261,-0.2993,1642,0,5110
2025-04-24,X (Nov 2025),23.0400,23.3500,22.5200,22.5500,22.6535,-0.4726,1517,0,5379
2025-04-25,X (Nov 2025),22.4500,22.8500,22.2000,22.2200,22.2297,-0.4238,978,0,5534
2025-04-28,X (Nov 2025),22.3000,22.7200,22.1700,22.4200,22.3806,0.1509,1152,0,5635
2025-04-29,X (Nov 2025),22.4700,22.5700,22.1500,22.4200,22.4202,0.0396,1583,0,5782
2025-04-30,X (Nov 2025),22.4000,23.0000,22.3500,22.6000,22.70,0.2798,2251,0,5978
2025-05-01,X (Nov 2025),22.6200,22.7000,22.3300,22.6500,22.6194,-0.0806,1566,0,6179
2025-05-02,X (Nov 2025),22.6000,22.7500,22.0700,22.1700,22.1595,-0.4599,997,0,6183
2025-05-05,X (Nov 2025),22.3500,22.4000,22.1500,22.3200,22.325,0.1655,805,0,6202
2025-05-06,X (Nov 2025),22.3000,22.7700,22.2800,22.7400,22.65,0.325,1125,0,6211
