Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2025-03-24,Z (Dec 2025),0.0000,17.5000,0.0000,0.0000,19.3897,0,0,0,0
2025-03-25,Z (Dec 2025),19.5000,19.7000,19.4000,19.7000,19.60,0.2103,54,0,54
2025-03-26,Z (Dec 2025),19.6000,20.0500,19.6000,19.6500,20.00,0.40,4,0,54
2025-03-27,Z (Dec 2025),19.9500,20.1000,19.9000,20.0000,20.00,0.00,15,0,65
2025-03-28,Z (Dec 2025),20.0500,20.6000,20.0500,20.5500,20.55,0.55,8,0,70
2025-03-31,Z (Dec 2025),21.0000,21.2000,20.4500,20.6400,20.50,-0.05,35,0,93
2025-04-01,Z (Dec 2025),20.6500,20.8000,20.5000,20.6500,20.5964,0.0964,37,0,122
2025-04-02,Z (Dec 2025),20.7000,21.1000,20.0000,21.1000,20.45,-0.1464,68,0,160
2025-04-03,Z (Dec 2025),21.6000,21.9000,21.3500,21.7500,21.65,1.20,146,0,213
2025-04-04,Z (Dec 2025),21.6500,23.5500,21.5500,22.4700,22.475,0.825,258,0,350
2025-04-07,Z (Dec 2025),23.6000,24.2000,21.2000,22.2000,22.125,-0.350,141,0,369
2025-04-08,Z (Dec 2025),21.7500,23.5500,21.6500,22.6800,22.375,0.250,237,0,431
2025-04-09,Z (Dec 2025),23.4500,24.4000,20.9600,21.1100,21.00,-1.375,168,0,382
2025-04-10,Z (Dec 2025),21.8000,23.6500,21.2500,22.5600,22.65,1.65,105,0,394
2025-04-11,Z (Dec 2025),22.5000,23.4500,22.0000,22.8300,22.95,0.30,37,0,383
2025-04-14,Z (Dec 2025),22.5500,22.9000,22.1000,22.8000,22.625,-0.325,35,0,380
2025-04-15,Z (Dec 2025),22.8400,22.9500,22.4500,22.7500,22.80,0.175,55,0,420
2025-04-16,Z (Dec 2025),22.9500,23.4000,22.6000,23.1100,23.05,0.25,127,0,472
2025-04-17,Z (Dec 2025),23.1000,23.5000,22.9000,22.9900,23.0577,0.0077,90,0,503
2025-04-21,Z (Dec 2025),23.0400,23.7000,22.9000,23.6700,23.6844,0.6267,210,0,521
2025-04-22,Z (Dec 2025),23.3700,23.8000,23.0000,23.0000,23.0016,-0.6828,85,0,531
2025-04-23,Z (Dec 2025),22.6000,22.9000,22.4500,22.7000,22.8146,-0.1870,138,0,560
2025-04-24,Z (Dec 2025),22.9500,23.0000,22.1500,22.1600,22.2553,-0.5593,198,0,639
2025-04-25,Z (Dec 2025),22.1500,22.4600,21.8500,21.9000,21.8655,-0.3898,231,0,763
2025-04-28,Z (Dec 2025),21.9000,22.3500,21.8500,22.0700,22.0315,0.1660,199,0,790
2025-04-29,Z (Dec 2025),22.0900,22.2000,21.8200,22.0500,22.0435,0.0120,288,0,843
2025-04-30,Z (Dec 2025),22.0400,22.6000,22.0000,22.2000,22.2918,0.2483,152,0,888
2025-05-01,Z (Dec 2025),22.2500,22.3000,22.0000,22.2500,22.2458,-0.0460,135,0,951
2025-05-02,Z (Dec 2025),22.3500,22.3500,21.8000,21.8500,21.8338,-0.4120,116,0,997
2025-05-05,Z (Dec 2025),22.0500,22.1100,21.8700,22.0500,22.0396,0.2058,192,0,1074
2025-05-06,Z (Dec 2025),22.0100,22.4000,22.0000,22.3700,22.3249,0.2853,214,0,1189
